temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
203.36903448275862,8.677028621656879,0.99,0.01,308.63,85.09,0.6589412386441973,0.10197471643738251,27.121132426299837,2.866083812501872,1210.3795470100904,8.722760134899598,0.9975657447419108,0.002434255258089165,0.34677960450577155,0.6532203954942284,18.76661685089091,0.6346258297972668,1.0000000007343217,1.920150847043379,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,9.503069188946876,0.99,0.01,308.63,85.09,0.6589412386441973,0.11168256186328447,27.121132426299837,2.866083812501872,1210.1638757247495,8.867798011508137,0.9972232125204284,0.0027767874795715792,0.3187694386728695,0.6812305613271304,18.717391793388913,0.6368040988786987,1.000000000747827,1.9155455373029848,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,10.329109756236875,0.99,0.01,308.63,85.09,0.6589412386441973,0.12139040728918644,27.121132426299837,2.866083812501872,1209.9484889751811,9.013304339052391,0.9968810372650289,0.003118962734971119,0.295223535722152,0.704776464277848,18.668304135708443,0.6389472777653759,1.0000000007580037,1.9109076044764832,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,11.155150323526872,0.99,0.01,308.63,85.09,0.6589412386441973,0.1310982527150884,27.121132426299837,2.866083812501872,1209.7333822342123,9.159220793480962,0.9965392145186344,0.0034607854813656427,0.27515557982774996,0.7248444201722499,18.619356812764664,0.6411266760578613,1.0000000007645697,1.9062361684641413,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,11.98119089081687,0.99,0.01,308.63,85.09,0.6589412386441973,0.14080609814099038,27.121132426299837,2.866083812501872,1209.5185523047312,9.305504495158672,0.9961977411002155,0.0038022588997844455,0.2578497985728919,0.7421502014271082,18.570552523443517,0.6432719389380133,1.0000000007679282,1.9015325866642092,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,12.80723145810687,0.99,0.01,308.63,85.09,0.6589412386441973,0.15051394356689235,27.121132426299837,2.866083812501872,1209.303996860893,9.452123440660685,0.9958566146647341,0.004143385335265986,0.2427741855556932,0.7572258144443069,18.521893704673587,0.6454363366882824,1.0000000007691834,1.896799350173459,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,13.633272025396867,0.99,0.01,308.63,85.09,0.6589412386441973,0.1602217889927943,27.121132426299837,2.866083812501872,1209.0897141638516,9.599053407657404,0.995515833430465,0.004484166569535034,0.2295250987594944,0.7704749012405055,18.473382534993984,0.6475817320810784,1.00000000076834,1.8920394806738565,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,14.459312592686866,0.99,0.01,308.63,85.09,0.6589412386441973,0.16992963441869627,27.121132426299837,2.866083812501872,1208.8757028800624,9.746275826278403,0.9951753960047378,0.004824603995262184,0.21779075625291472,0.7822092437470852,18.42502094785294,0.6497289135679751,1.0000000007654717,1.88725619545185,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,15.285353159976863,0.99,0.01,308.63,85.09,0.6589412386441973,0.1796374798445982,27.121132426299837,2.866083812501872,1208.6619619619646,9.893776292391046,0.9948353012694837,0.0051646987305162834,0.2073265157934758,0.7926734842065243,18.376810648936363,0.6518727531402554,1.0000000007629857,1.8824777964420816,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,16.11139372726686,0.99,0.01,308.63,85.09,0.6589412386441973,0.1893453252705002,27.121132426299837,2.866083812501872,1208.4484905675179,10.041543513339963,0.9944955483040756,0.005504451695924408,0.19793772807599602,0.8020622719240039,18.3287531376412,0.6540006591013672,1.0000000007652725,1.8777422293092387,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,16.937434294556862,0.99,0.01,308.63,85.09,0.6589412386441973,0.1990531706964022,27.121132426299837,2.866083812501872,1208.2352880050316,10.18956854966598,0.9941561363324007,0.005843863667599307,0.18946758864490396,0.810532411355096,18.280849725117893,0.6561414955829108,1.000000000767654,1.872990682366535,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,17.76347486184686,0.99,0.01,308.63,85.09,0.6589412386441973,0.20876101612230413,27.121132426299837,2.866083812501872,1208.0223536943872,10.337844262190913,0.9938170646856777,0.0061829353143224046,0.18178836745787508,0.8182116325421249,18.233101552945776,0.6582482126376719,1.000000000770218,1.868226050396127,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
