T,P,z_carbon dioxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
235.0682758621,9.9283425669,0.96,0.04,0.02536573050974349,0.0005712896897016918,0.900693462601408,0.09930653739859194,0.96751907388036,0.032480926119640006,0.022846747644235044,0.0025189828655084465,0.000552733671497579,1.8556018204112717e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.16293241424635,-0.10165457619226892
235.0682758621,9.9448752085,0.96,0.04,0.02536033212010778,0.0005723538027948027,0.9026655587414945,0.09733444125850561,0.9681968132182919,0.03180318678170806,0.02289189836306696,0.002468433757040824,0.0005541511278992987,1.8202674895504008e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.139218678256118,-0.09979735506319187
235.0682758621,9.9614078501,0.96,0.04,0.02535492261380944,0.0005734183601587864,0.9046367770767211,0.09536322292327891,0.9688727378330537,0.03112726216694626,0.022936995476386245,0.002417927137423195,0.0005555694165307834,1.784894362800296e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.115522217629698,-0.09793345396036379
235.0682758621,9.9779404918,0.96,0.04,0.02534950200696446,0.0005744833621533318,0.9066071092602155,0.09339289073978448,0.9695468589296679,0.03045314107033214,0.02298203873572008,0.002367463271244379,0.0005569885392831177,1.7494822870214122e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.091843150481408,-0.09606294400015258
235.0682758621,9.9944731334,0.96,0.04,0.025344070316168196,0.00057554880913807,0.9085765468750981,0.09142345312490188,0.9702191876464739,0.02978081235352615,0.023027027891623777,0.00231704242454442,0.0005584084980528337,1.7140311085236298e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.068181595675158,-0.0941858971727143
235.0682758621,10.0110057751,0.96,0.04,0.025338627558492453,0.000576614701472509,0.9105450814368923,0.08945491856310771,0.9708897350562522,0.02911026494374788,0.023071962693746593,0.002266664864745859,0.0005598292947421842,1.6785406730324828e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.04453767279616,-0.09230238580319927
235.0682758621,10.0275384167,0.96,0.04,0.02533317375148809,0.0005776810395160835,0.912512704393806,0.08748729560619399,0.9715585121667679,0.028441487833232106,0.023116842890848577,0.002216330860639513,0.0005612509312591979,1.6430108256885563e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.020911502144772,-0.0904124828282562
235.0682758621,10.0440710584,0.96,0.04,0.025327708913195805,0.0005787478236281498,0.9144794071242045,0.08552059287579551,0.9722255299202429,0.027774470079757082,0.02316166823075373,0.0021660406824420757,0.0005626734095170653,1.6074414111084578e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,12.99730320476219,-0.08851626223909825
235.0682758621,10.0606037,0.96,0.04,0.02532223306213512,0.0005798150541679235,0.9164451809417594,0.08355481905824053,0.9728907991954655,0.027109200804534443,0.023206438460477822,0.002115794601657296,0.0005640967314349932,1.5718322732930255e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,12.973712902371048,-0.0866137981895605
235.0682758621,10.0771363416,0.96,0.04,0.025316746217318064,0.0005808827314945649,0.9184100170918457,0.08158998290815433,0.9735543308069249,0.026445669193075054,0.023251153326157,0.002065592891161062,0.0005655208989374898,1.5361832557075104e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,12.95014071741245,-0.08470516578837106
