,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
12989,205.0,3.540387262174207,0.95,0.0,0.0210349895491273,0.0078867947739883,0.0210552088152379,0.0,0.0,2.3006861646331145e-05
16907,220.0,16.406795916554184,0.95,0.0,0.0,0.0,0.02,0.0,0.02,0.01
10461,200.0,3.933647685712267,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
8804,240.0,19.554643975546742,0.96,0.0,0.0041702958087317,0.0,0.0,0.0358297041912682,0.0,0.0
12602,205.0,14.687108382552548,0.9600000000000002,0.0106397823813711,0.0,0.005043185819572,0.0029800508233207,0.0007588278003489,0.0,0.0205781531753872
19185,210.0,28.60379206305593,0.98,0.0199312532813553,1.2331681778548162e-07,3.111098311804671e-08,6.821041355683285e-05,1.562011847671515e-07,1.0556256590468488e-07,1.2011353627176136e-07
8949,215.0,14.913081627567744,0.97,0.0,0.000483572647257,0.0,0.0,0.029516427352743,0.0,0.0
5269,220.0,16.59921431440146,0.9800000000000002,0.0027900659947176,0.0051896876334928,0.0031479159606157,0.0,0.0064401637300932,0.0,0.0024321666810805
18369,280.0,49.59236741193252,0.9700000000000004,0.0001774924942485,0.0199223484722553,0.0087830711610188,0.0010388097819295,9.318026863656867e-06,1.6659299424319497e-05,5.230076425967527e-05
5633,210.0,4.420719507032944,0.96,0.0,0.0,0.0,0.0,0.04,0.0,0.0
17074,210.0,42.38174875671936,0.96,0.01,0.0,0.0,0.0,0.0,0.03,0.0
12092,245.0,17.01913374589111,0.9500000000000004,0.0,0.0036141911070162,0.004245146253855,0.030014447199193,0.0003212420108318,0.0057948202833863,0.0060101531457174
10067,290.0,60.89611390429282,0.9600000000000002,0.0,0.0231480605519119,0.0,0.0,0.0059228408958504,0.0002832581707493,0.0106458403814883
18764,280.0,54.92222543044046,0.9700000000000004,0.0003994480179376,0.0028965125947082,0.0244636991041966,0.0021890895987612,7.682263294672924e-08,5.381303946989452e-06,4.579255781623149e-05
2115,200.0,2.7331141954406224,0.95,0.0022461540338648,0.0370200500439085,0.0,0.0,0.0,0.0,0.0107337959222266
13699,275.0,39.89256368341727,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0
13386,210.0,16.025075227350666,0.95,0.0,0.0013975609656157,0.0254634082330592,0.0198727157653484,0.0,0.0004800215694976,0.002786293466479
10044,275.0,51.223652522391006,0.9600000000000002,0.0,0.0231480605519119,0.0,0.0,0.0059228408958504,0.0002832581707493,0.0106458403814883
4452,200.0,5.386592059708136,0.9900000000000004,0.0,0.0020072529992621,0.0029118001842531,0.0019335194014437,0.0030595831699401,0.0,8.784424510072746e-05
15181,235.0,14.739235241453253,0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03
13919,290.0,56.60144448761165,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
9175,235.0,20.26112000036379,0.96,0.0,0.0267210077485568,0.0132789922514431,0.0,0.0,0.0,0.0
17861,215.0,13.5073811030403,0.9700000000000002,0.0027437488900767,0.0007509336616747,0.0018004065823258,0.0245796928555922,9.125664169751543e-06,3.4823956615641697e-05,8.126838954503732e-05
18485,240.0,37.93273622907884,0.9700000000000004,0.0074631004355608,0.0079014319359245,0.003992573610865,0.0099051237458289,3.7883113831758814e-05,0.0006994968989845,3.902590042765682e-07
7751,200.0,21.032538338778952,0.98,0.0087770567657829,0.0,0.0,0.0,0.0,0.0,0.011222943234217
13744,200.0,3.72620189085453,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
489,250.0,50.28424171821266,0.9700000000000002,0.0133476884036825,0.0,0.0,0.0,0.004826115958439,0.0094420444563928,0.0023841511814855
247,225.0,9.228738223582448,0.98,0.0,0.0,0.0007494882426807,0.0039306778688599,0.0,0.0019053112172575,0.0134145226712018
9267,280.0,56.07107208968507,0.96,0.0,0.0267210077485568,0.0132789922514431,0.0,0.0,0.0,0.0
2415,255.0,23.29007481824149,0.96,0.0,0.0008850414162001,0.0391149585837999,0.0,0.0,0.0,0.0
18625,210.0,17.8883873787909,0.9700000000000004,0.0003994480179376,0.0028965125947082,0.0244636991041966,0.0021890895987612,7.682263294672924e-08,5.381303946989452e-06,4.579255781623149e-05
14103,285.0,61.10843130665191,0.95,0.0,0.01,0.04,0.0,0.0,0.0,0.0
9836,280.0,48.47584187991754,0.9500000000000004,0.0218679702186107,0.0,0.0,0.0,0.0037462674585969,0.0017907943601605,0.0225949679626316
11412,285.0,52.349084953495336,0.99,0.0,0.0013433706565824,0.0,0.0,0.0054685338854929,0.0,0.0031880954579246
1931,205.0,59.07068691272381,0.9600000000000002,0.0243116931975149,0.0,0.0045569689625575,0.0021743998911467,0.0,0.0089569379487807,0.0
10177,250.0,20.342629539527817,0.9800000000000004,0.0,0.0,0.0,0.0098069707131763,0.0072066354129923,0.0,0.0029863938738312
17436,200.0,2.7088136308388124,0.9700000000000002,0.0067154310761333,0.0113398971644284,0.0022100754528297,0.0096469997787935,2.0221455921324004e-05,6.297044648320028e-05,4.40462541037571e-06
4245,295.0,86.13465642504326,0.9500000000000002,0.031349032073306,0.0,0.0,0.0038762195156032,0.0,0.0,0.0147747484110907
