temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen
270.0,34.4641828261794,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,943.5069546884772,86.77724201670266,0.9980512103378129,0.0019487896621871973,0.9498092492947333,0.05019075070526669,4.9934118733652495,1.204530401976986,1.0,1.1115802164436726
270.0,41.25553971620775,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,939.6445420719433,89.80615266569627,0.9927102224300353,0.007289777569964765,0.8388375583404103,0.16116244165958965,4.815812667552153,1.2269208210089197,1.0,1.102058017018878
270.0,48.04689660623609,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,935.7917970604784,92.92013784235316,0.9873776148388512,0.012622385161148822,0.7559683711481933,0.24403162885180676,4.6432813027446675,1.249508781404397,1.0,1.0938975190632865
270.0,54.83825349626443,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,931.9398704422324,96.13023125005367,0.9820479782872097,0.017952021712790284,0.6920561889140746,0.3079438110859254,4.475260661276801,1.2723852100557864,1.0,1.0865357454422717
270.0,61.629610386292775,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,928.0834598830368,99.43867676325166,0.9767180341242773,0.02328196587572273,0.6415088358890538,0.3584911641109461,4.311450413939499,1.2956672228083554,1.0,1.079706754686811
270.0,68.42096727632111,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,924.2191914737267,102.84498040941283,0.9713856614485943,0.028614338551405775,0.6007251204044517,0.39927487959554825,4.151677410659944,1.3191148980915657,1.0,1.0733656627936468
270.0,75.21232416634946,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,920.3447991080178,106.34802305954412,0.96604940388925,0.033950596110749943,0.5672866345275207,0.43271336547247924,3.9958300192592344,1.343093027381913,1.0,1.06733335926692
270.0,82.00368105637781,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,916.4586826041095,109.94675567474204,0.9607082040161145,0.03929179598388551,0.5395117468800248,0.4604882531199752,3.843836262249946,1.3674542514576566,1.0,1.0615822049509702
270.0,88.79503794640615,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,912.5596536708538,113.64040183657411,0.9553612505628075,0.04463874943719241,0.5161963388997385,0.4838036611002614,3.695637363160226,1.3922297222012596,1.0,1.0560996195991463
270.0,95.5863948364345,0.95,0.05,306.8,98.98,95.5963948364345,34.454182826179405,908.646785038709,117.42845794409548,0.9500078876184808,0.04999211238151925,0.4964562751633528,0.5035437248366471,3.551185901586841,1.4173103063674746,1.0,1.050879552817545
280.0,45.19833033147685,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,880.8802573957292,119.29678478397297,0.9966252725973488,0.003374727402651189,0.9498697289293424,0.050130271070657574,3.2768168671584146,1.4389779872733826,1.0,1.062733063890488
280.0,50.63164319545164,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,876.8135558216152,122.59210590239796,0.991515828657054,0.008484171342945898,0.8856093847481057,0.11439061525189426,3.150398305467667,1.4655389456875192,1.0,1.0567757405256475
280.0,56.06495605942643,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,872.733065950245,125.96454751913429,0.9863943550786606,0.013605644921339371,0.8322988899251247,0.16770111007487526,3.0271979905704924,1.4924241239733966,1.0,1.0514563564563986
280.0,61.49826892340121,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,868.6334002928623,129.4236986591513,0.981257859606223,0.018742140393776974,0.7875196127096564,0.21248038729034355,2.9069851460405247,1.5198361727218235,1.0,1.0466120228869453
280.0,66.931581787376,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,864.510396179735,132.9755112886661,0.9761039447743416,0.023896055225658464,0.7495142549125975,0.2504857450874025,2.7896063204909107,1.548104433168758,1.0,1.0421516982662584
280.0,72.3648946513508,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,860.3606970173036,136.6239969963493,0.9709305983349202,0.029069401665079785,0.7169764397338887,0.28302356026611125,2.6749520594415954,1.5770476415716572,1.0,1.0379982085787924
280.0,77.79820751532557,0.95,0.05,306.8,98.98,94.10814610724994,45.188330331476855,856.1814835114901,140.37214640064488,0.9657360583630774,0.034263941636922625,0.6889157330606135,0.31108426693938646,2.562961634853086,1.6066839602217762,1.0,1.0341011942791372
