T,P,z_carbon dioxide,z_nitrogen,rho_l,rho_v,x_carbon dioxide,x_nitrogen,y_carbon dioxide,y_nitrogen,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoV1_carbon dioxide,rhoV2_nitrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
216.8451724138,8.5023654132,0.99,0.01,0.026523292382818937,0.0005071796787467942,0.9951736501007367,0.004826349899263426,0.6453139171971644,0.35468608280283576,0.026395281693298987,0.00012801068951995257,0.00032729010521489316,0.0001798895735319011,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.523516732731304,-0.12159150834054167
216.8451724138,8.7251516439,0.99,0.01,0.026521583562079402,0.0005205780770227995,0.9948407637006434,0.0051592362993565215,0.630436587273345,0.369563412726655,0.026384752445449505,0.00013683111662989727,0.00032819146628757423,0.00019238661073522526,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.490440587321046,-0.12931933208453117
216.8451724138,8.9479378746,0.99,0.01,0.02651987394612398,0.0005339919073088571,0.9945078612074773,0.005492138792522779,0.616295748733124,0.38370425126687596,0.02637422311765166,0.00014565082847232166,0.00032909694233234103,0.00020489496497651605,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.45738516754344,-0.1369656599364486
216.8451724138,9.1707241053,0.99,0.01,0.026518163523981515,0.000547421140836392,0.9941749413345308,0.00582505866546918,0.6028384611647137,0.3971615388352864,0.026363693665753817,0.00015446985822769726,0.0003300065181508426,0.00021741462268554947,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.424350587998772,-0.1445309685341929
216.8451724138,9.393510336,0.99,0.01,0.026516452285769026,0.0005608657536757519,0.9938420029273259,0.006157997072674062,0.5900167306810058,0.4099832693189941,0.02635316405021556,0.0001632882355534671,0.00033092017833470547,0.0002299455753410464,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.391336958523514,-0.15201571705682504
216.8451724138,9.6162965667,0.99,0.01,0.02651474022257088,0.0005743257262139142,0.9935090449488858,0.006490955051114155,0.5777869464344753,0.4222130535655248,0.026342634235594204,0.00017210598697667612,0.00033183790760789994,0.00024248781860601427,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.358344384544973,-0.15942034888227674
216.8451724138,9.8390827975,0.99,0.01,0.02651302732633452,0.000587801042699165,0.993176066467047,0.006823933532952952,0.5661093923167075,0.43389060768329246,0.02633210419010225,0.00018092313623227206,0.0003327596910855514,0.00025504135161361367,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.325372967415397,-0.16674529453422693
216.8451724138,10.0618690282,0.99,0.01,0.026511313589778953,0.0006012916908460653,0.9928430666432626,0.007156933356737422,0.5549478224035636,0.44505217759643645,0.026321573885217338,0.0001897397045616151,0.00033368551446438067,0.0002676061763816846,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.29242280471459,-0.1739909729947584
216.8451724138,10.2846552589,0.99,0.01,0.02650959900631469,0.0006147976614818755,0.9925100447229177,0.007489955277082305,0.5442690906672333,0.4557309093327668,0.02631104329534401,0.00019855571097068255,0.00033461536415908187,0.00028018229732279363,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.259493990546138,-0.18115779211826677
216.8451724138,10.5074414896,0.99,0.01,0.02650788356997537,0.0006283189482405987,0.9921770000269409,0.00782299997305913,0.5340428270435107,0.4659571729564893,0.026300512397521597,0.00020737117245377186,0.0003355492274034146,0.00029276972083718407,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.226586615805015,-0.18824615172444403
