T,P,z_carbon dioxide,z_hydrogen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
256.1092413793,24.7877448591,0.96,0.003399,0.036601,0.02326540936271206,0.0014130517861180103,0.9605497607439752,0.002714480392780828,0.036735758863243886,0.8616042531942145,0.12591378246428112,0.0124819643415044,0.02234758339696371,6.315349754510137e-05,0.0008546724682032468,0.0012174914289029592,0.00017792269520802703,1.7637662007024107e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.971166457665469,-0.06662970646270949,-0.08832617616122462
256.1092413793,24.9717425354,0.96,0.003399,0.036601,0.023266102866971804,0.0014223783048551556,0.960451868756235,0.0028413371727546793,0.03670679407101041,0.8566542280470844,0.13094066907072355,0.01240510288219217,0.022345971977257864,6.61068429410612e-05,0.0008540240467728789,0.0012184863887366138,0.00018624716690941566,1.7644749209126304e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.967637989887408,-0.06954737970597336,-0.09225063330408378
256.1092413793,25.1557402118,0.96,0.003399,0.036601,0.023266806069936318,0.0014317045917477751,0.9603518905390128,0.0029681983492522834,0.036679911111734784,0.8517673051992263,0.13590277153030852,0.012329923270465233,0.022344321196067923,6.906049536915799e-05,0.0008534243784992355,0.0012194791619543608,0.00019457262203119154,1.765280776222282e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.964131388341058,-0.07246143505612412,-0.09617093118349374
256.1092413793,25.3397378882,0.96,0.003399,0.036601,0.023267517788571085,0.0014410307295376925,0.9602500874460466,0.00309506117855131,0.03665485137540209,0.8469425112554352,0.14080117843068976,0.012256310313875135,0.02234263599112783,7.201439102865839e-05,0.0008528674064145974,0.001220470184870905,0.00020289882487374369,1.7661719793043832e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.960643979138494,-0.07537179717084275,-0.10008697228596208
256.1092413793,25.5237355645,0.96,0.003399,0.036601,0.023268237027192877,0.0014503567859139475,0.96014667930354,0.0032219233974935257,0.03663139729896637,0.8421788614041672,0.1456369737458319,0.012184164850000859,0.022340920514906916,7.496847729633793e-05,0.0008523480349896224,0.0012214598265908158,0.00021122557315223872,1.767138617089294e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.957173510027313,-0.07827840620232962,-0.10399867845917665
259.6160689655,22.4541602836,0.96,0.003399,0.036601,0.02308285798905996,0.0013018115430352163,0.9205529670789225,7.60993893078024e-05,0.07937093353176958,0.96432482801357,0.003763310635889465,0.03191186135054057,0.02124899341049056,1.7565913964461909e-06,0.0018321079871729544,0.0012553691923435151,4.899121225828106e-06,4.15432294658731e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.799832401606427,-0.003957234949639954,-0.004550842605285155
259.6160689655,22.6316824783,0.96,0.003399,0.036601,0.02304323667762148,0.0013143908184727014,0.9292178594488627,8.648917032782929e-05,0.07069565138080951,0.9674600188053806,0.004201783453000265,0.028338197741619074,0.021412187060352954,1.9929904219152874e-06,0.0016290566268466113,0.0012716205659572192,5.5227855918340715e-06,3.724746692364796e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.708192015033739,-0.0037718428987796315,-0.004438575696053881
259.6160689655,22.8092046731,0.96,0.003399,0.036601,0.02300515062413562,0.0013268481891438833,0.9374478979911859,0.00010228002845218592,0.06244982198036186,0.9701586963670342,0.004884022424295651,0.024957281208670162,0.021566130095566554,2.352967460383414e-06,0.00143666756110868,0.00128725330945679,6.4803563094148035e-06,3.3114523377678675e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.621251842259012,-0.0037488308361517397,-0.004528412427045936
259.6160689655,22.9867268678,0.96,0.003399,0.036601,0.02297026030991499,0.0013390302626580988,0.9449053459824416,0.00012808628124068536,0.05496656773631769,0.9720846752084693,0.006017670814193752,0.02189765397733701,0.02170472176544697,2.9421752222275237e-06,0.0012625963692457919,0.0013016507979703093,8.057843330919835e-06,2.9321621356869737e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.54233440339532,-0.003997734036374823,-0.0049639273580890375
259.6160689655,23.1642490625,0.96,0.003399,0.036601,0.022941398223880406,0.001350673864066865,0.9510192929104261,0.0001717411599830584,0.04880896592959085,0.9726706274810967,0.007952248885536337,0.019377123633367056,0.02181771231725125,3.939982342602496e-06,0.0011197459242865547,0.0013137607948842352,1.0740894730248786e-05,2.6172174452381255e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.477041980229079,-0.004699686221482757,-0.005984022657838928
259.6160689655,23.3417712572,0.96,0.003399,0.036601,0.022921249694450696,0.0013615265101436466,0.9552641296505826,0.00024053139979544926,0.04449533894962194,0.9714024122487179,0.011003549617494012,0.017594038133788115,0.021895847639873126,5.51328027406724e-06,0.001019888774303502,0.0013225901362941168,1.4981624509899079e-05,2.395474933963077e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.430480970604495,-0.006015370167006928,-0.007803064152556161
259.6160689655,23.5192934519,0.96,0.003399,0.036601,0.02290929451762003,0.0013716301782511476,0.9577818631878962,0.00033267493300621095,0.04188546187909765,0.9684425900985878,0.01506993278845108,0.016487477112961144,0.02194210678740637,7.6213480188688e-06,0.0009595663821947945,0.001328345082482929,2.067037459685597e-05,2.261472117136261e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.401132234405944,-0.007890235472405749,-0.010353226017872252
259.6160689655,23.6968156466,0.96,0.003399,0.036601,0.02290261076072033,0.0013812505545841508,0.9591977061303298,0.0004397499763535077,0.040362543893316595,0.9644341749712413,0.019754394057658733,0.015811430971100018,0.02196813170607875,1.0071422540460356e-05,0.0009244076321011193,0.0013321252390389349,2.7285767747614978e-05,2.183954779760092e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.382735815872469,-0.010117134869385147,-0.013365121071695185
259.6160689655,23.8743378414,0.96,0.003399,0.036601,0.022898804125574337,0.0013906069900897543,0.9600147613349073,0.000554939656537968,0.03943029900855477,0.9598892280409094,0.02474138793418117,0.0153693840249094,0.021983189977468037,1.2707454496576429e-05,0.0009029066936097237,0.0013348286702255466,3.4405547005794644e-05,2.1372772858412814e-05,6.977948784052992,0.0227001681772635,0.0014087735393937398,309.1473760575555,82.3795680252517,23.867182232084126,7.370283407545067,-0.0125353961552781,-0.01662772969621873
