T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
256.6604137931,63.1876601893,0.95,0.05,0.023196471141473253,0.0033835242811016773,0.9704758556422886,0.029524144357711415,0.4565420065887677,0.5434579934112324,0.02251161517890291,0.0006848559625703431,0.0015447209646359775,0.0018388033164657,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.972077843036457,0.2866507095370947
256.6604137931,65.5160213797,0.95,0.05,0.02320653562884435,0.003501547025985831,0.9688209580220634,0.0311790419779366,0.4459259761111214,0.5540740238888787,0.022482978080310127,0.0007235575485342193,0.0015614307754617258,0.0019401162505241056,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.890221353354341,0.30113327659987554
256.6604137931,67.84438257,0.95,0.05,0.02321661095431294,0.0036194982298792867,0.9671666138574906,0.032833386142509406,0.4360644152430519,0.563935584756948,0.02245433100192957,0.0007622799523833706,0.0015783343790855726,0.002041163850793714,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.809113406052179,0.3153983870166357
256.6604137931,70.1727437603,0.95,0.05,0.023226697024517396,0.0037373743085625387,0.965512805327484,0.03448719467251606,0.426885379522981,0.573114620477019,0.022425673402633316,0.000801023621884081,0.001595430450130158,0.0021419438584323806,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.728753255185254,0.3294449107874664
256.6604137931,72.5011049507,0.95,0.05,0.02323679376711808,0.003855171825395393,0.9638595168716814,0.03614048312831859,0.4183258140821814,0.5816741859178186,0.022397004814021328,0.0008397889530967496,0.0016127178922852171,0.002242453933110176,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.649139894693982,0.3432718246648623
256.6604137931,74.829466141,0.95,0.05,0.023246901127389127,0.00397288746420764,0.9622067348219184,0.037793265178081584,0.41033022563671884,0.5896697743632812,0.022368324828513066,0.000878576298876061,0.0016301958096176126,0.002342691654590027,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.570272089097428,0.35687806062315897
256.6604137931,77.1578273313,0.95,0.05,0.02325701906238285,0.004090518019589543,0.9605544467792814,0.03944555322071862,0.4028495896954624,0.5971504103045376,0.022339633079202358,0.0009173859831804901,0.0016478635058335429,0.0024426545137560002,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.492148371932391,0.3702611998413827
256.6604137931,79.4861885217,0.95,0.05,0.02326714755037423,0.004208060325865543,0.9589026426051046,0.04109735739489545,0.3958404191533624,0.6041595808466377,0.022310929271936737,0.0009562182784374959,0.0016657203632132515,0.0025423399626522923,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.414767181691441,0.38342433369231443
256.6604137931,81.814549712,0.95,0.05,0.023277286571987417,0.004325511315739387,0.9572513124241268,0.042748687575873225,0.38926402976298174,0.6107359702370182,0.022282213120707457,0.0009950734512799591,0.0016837659655500909,0.0026417453501892956,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.3381267188583985,0.3963656711653716
256.6604137931,84.1429109023,0.95,0.05,0.02328743611941224,0.004442867957700711,0.9556004475937728,0.04439955240622718,0.38308588134135046,0.6169141186586495,0.022253484379021728,0.0010339517403905115,0.0017019999872590226,0.0027408679704416885,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.262225069802507,0.409084493662931
